city,companyField,companyName,companySize,detailLink,experience,full_or_parttime,month_salary,positionName,qualification
北京,移动互联网,高德软件有限公司,2000人以上,https://www.lagou.com/jobs/4507231.html,3-5年,全职,20k-40k,数据分析专家,本科
,,,,,,,,,
深圳,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/5120858.html,1-3年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,教育",北京世纪好未来教育科技有限公司,2000人以上,https://www.lagou.com/jobs/4547765.html,3-5年,全职,15k-25k,大数据部-用户研究员（会数据分析）,本科
,,,,,,,,,
上海,"移动互联网,O2O",贝壳找房（北京）科技有限公司,2000人以上,https://www.lagou.com/jobs/5070560.html,3-5年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,O2O",北京自如友家资产管理有限公司,2000人以上,https://www.lagou.com/jobs/4653477.html,3-5年,全职,15k-30k,数据分析专家,本科
,,,,,,,,,
北京,"移动互联网,电子商务",北京值得买科技股份有限公司,500-2000人,https://www.lagou.com/jobs/4153616.html,不限,全职,8k-11k,数据分析专员,本科
,,,,,,,,,
上海,移动互联网,上海基分文化传播有限公司,500-2000人,https://www.lagou.com/jobs/4832791.html,5-10年,全职,25k-50k,资深数据分析师,本科
,,,,,,,,,
北京,金融,北京弘合柏基金融信息服务有限责任公司,2000人以上,https://www.lagou.com/jobs/4629774.html,3-5年,全职,15k-30k,数据分析师 --10号线亮马桥,本科
,,,,,,,,,
上海,"移动互联网,金融",上海米么金融信息服务有限公司,150-500人,https://www.lagou.com/jobs/5138462.html,1-3年,全职,15k-20k,数据分析师,本科
,,,,,,,,,
北京,金融,普信恒业科技发展（北京）有限公司,2000人以上,https://www.lagou.com/jobs/4781615.html,3-5年,全职,40k-50k,数据分析,本科
,,,,,,,,,
北京,"移动互联网,金融",北京瓴岳信息技术有限公司,150-500人,https://www.lagou.com/jobs/4555438.html,3-5年,全职,35k-45k,数据分析师,本科
,,,,,,,,,
北京,"社交网络,文化娱乐",小糖互联（北京）网络科技有限公司,50-150人,https://www.lagou.com/jobs/4223211.html,3-5年,全职,18k-35k,数据分析师,本科
,,,,,,,,,
